Designation,d[mm],D[mm],B[mm],C[kN],Co[kN],Pu[kN],G-Speed[r/min],O-Speed[r/min]
71914 ACD/P4A,70.0,100.0,16.0,32.5,32.5,1.37,11000.0,18000.0
71914 ACD/P4AH1,70.0,100.0,16.0,32.5,32.5,1.37,11000.0,18000.0
71914 ACD/P4AL,70.0,100.0,16.0,32.5,32.5,1.37,11000.0,18000.0
S71914 ACD/P4A,70.0,100.0,16.0,32.5,32.5,1.37,11000.0,
71914 CD/HCP4A,70.0,100.0,16.0,34.5,34.0,1.06,16000.0,24000.0
71914 CD/HCP4AH1,70.0,100.0,16.0,34.5,34.0,1.06,16000.0,24000.0
71914 CD/HCP4AL,70.0,100.0,16.0,34.5,34.0,1.06,16000.0,24000.0
S71914 CD/HCP4A,70.0,100.0,16.0,34.5,34.0,1.06,16000.0,
71914 CD/P4A,70.0,100.0,16.0,34.5,34.0,1.43,13000.0,20000.0
71914 CD/P4AH1,70.0,100.0,16.0,34.5,34.0,1.43,13000.0,20000.0
71914 CD/P4AL,70.0,100.0,16.0,34.5,34.0,1.43,13000.0,20000.0
S71914 CD/P4A,70.0,100.0,16.0,34.5,34.0,1.43,13000.0,
7014 ACB/HCP4A,70.0,110.0,20.0,18.2,15.6,0.48,18000.0,28000.0
7014 ACB/HCP4AL,70.0,110.0,20.0,18.2,15.6,0.48,18000.0,28000.0
S7014 ACB/HCP4A,70.0,110.0,20.0,18.2,15.6,0.48,18000.0,
7014 ACB/P4A,70.0,110.0,20.0,18.2,15.6,0.655,15000.0,24000.0
7014 ACB/P4AL,70.0,110.0,20.0,18.2,15.6,0.655,15000.0,24000.0
S7014 ACB/P4A,70.0,110.0,20.0,18.2,15.6,0.655,15000.0,
7014 CB/HCP4A,70.0,110.0,20.0,19.0,16.3,0.51,19000.0,30000.0
7014 CB/HCP4AL,70.0,110.0,20.0,19.0,16.3,0.51,19000.0,30000.0
S7014 CB/HCP4A,70.0,110.0,20.0,19.0,16.3,0.51,19000.0,
7014 CB/P4A,70.0,110.0,20.0,19.0,16.3,0.695,17000.0,26000.0
7014 CB/P4AL,70.0,110.0,20.0,19.0,16.3,0.695,17000.0,26000.0
S7014 CB/P4A,70.0,110.0,20.0,19.0,16.3,0.695,17000.0,
7014 ACE/HCP4A,70.0,110.0,20.0,22.5,17.3,0.54,18500.0,29000.0
7014 ACE/HCP4AH1,70.0,110.0,20.0,22.5,17.3,0.54,18500.0,29000.0
7014 ACE/HCP4AL,70.0,110.0,20.0,22.5,17.3,0.54,18500.0,29000.0
7014 ACE/HCP4AL1,70.0,110.0,20.0,22.5,17.3,0.54,18500.0,29000.0
7014 ACE/HCP4BVG275,70.0,110.0,20.0,22.5,17.3,0.54,18500.0,
S7014 ACE/HCP4A,70.0,110.0,20.0,22.5,17.3,0.54,18500.0,
S7014 ACE/HCP4BVG275,70.0,110.0,20.0,22.5,17.3,0.54,18500.0,
7014 ACE/P4A,70.0,110.0,20.0,22.5,17.3,0.735,15500.0,24000.0
7014 ACE/P4AH1,70.0,110.0,20.0,22.5,17.3,0.735,15500.0,24000.0
7014 ACE/P4AL,70.0,110.0,20.0,22.5,17.3,0.735,15500.0,24000.0
7014 ACE/P4AL1,70.0,110.0,20.0,22.5,17.3,0.735,15500.0,24000.0
7014 ACE/P4BVG275,70.0,110.0,20.0,22.5,17.3,0.735,15500.0,
S7014 ACE/P4A,70.0,110.0,20.0,22.5,17.3,0.735,15500.0,
S7014 ACE/P4BVG275,70.0,110.0,20.0,22.5,17.3,0.735,15500.0,
7014 CE/HCP4AH1,70.0,110.0,20.0,23.8,18.3,0.57,20500.0,32000.0
7014 CE/HCP4AL,70.0,110.0,20.0,23.8,18.3,0.57,20500.0,32000.0
7014 CE/HCP4AL1,70.0,110.0,20.0,23.8,18.3,0.57,20500.0,32000.0
7014 CE/HCP4BVG275,70.0,110.0,20.0,23.8,18.3,0.57,20500.0,
S7014 CE/HCP4A,70.0,110.0,20.0,23.8,18.3,0.57,20500.0,
S7014 CE/HCP4BVG275,70.0,110.0,20.0,23.8,18.3,0.57,20500.0,
7014 CE/P4A,70.0,110.0,20.0,23.8,18.3,0.78,17000.0,27000.0
7014 CE/P4AH1,70.0,110.0,20.0,23.8,18.3,0.78,17000.0,27000.0
7014 CE/P4AL,70.0,110.0,20.0,23.8,18.3,0.78,17000.0,27000.0
7014 CE/P4AL1,70.0,110.0,20.0,23.8,18.3,0.78,17000.0,27000.0
7014 CE/P4BVG275,70.0,110.0,20.0,23.8,18.3,0.78,17000.0,
S7014 CE/P4A,70.0,110.0,20.0,23.8,18.3,0.78,17000.0,
S7014 CE/P4BVG275,70.0,110.0,20.0,23.8,18.3,0.78,17000.0,
7014 ACD/HCP4A,70.0,110.0,20.0,48.8,44.0,1.34,13000.0,20000.0
7014 ACD/HCP4AH1,70.0,110.0,20.0,48.8,44.0,1.34,13000.0,20000.0
7014 ACD/HCP4AL,70.0,110.0,20.0,48.8,44.0,1.34,13000.0,20000.0
7014 ACDTP/HCP4B,70.0,110.0,20.0,48.8,44.0,1.34,13000.0,
S7014 ACD/HCP4A,70.0,110.0,20.0,48.8,44.0,1.34,13000.0,
S7014 ACDTP/HCP4B,70.0,110.0,20.0,48.8,44.0,1.34,13000.0,
7014 ACD/P4A,70.0,110.0,20.0,48.8,44.0,1.86,11000.0,17000.0
7014 ACD/P4AH1,70.0,110.0,20.0,48.8,44.0,1.86,11000.0,17000.0
7014 ACD/P4AL,70.0,110.0,20.0,48.8,44.0,1.86,11000.0,17000.0
7014 ACDTP/P4B,70.0,110.0,20.0,48.8,44.0,1.86,11000.0,
S7014 ACD/P4A,70.0,110.0,20.0,48.8,44.0,1.86,11000.0,
S7014 ACDTP/P4B,70.0,110.0,20.0,48.8,44.0,1.86,11000.0,
7014 CD/HCP4A,70.0,110.0,20.0,52.0,45.5,1.43,15000.0,22000.0
7014 CD/HCP4AH1,70.0,110.0,20.0,52.0,45.5,1.43,15000.0,22000.0
7014 CD/HCP4AL,70.0,110.0,20.0,52.0,45.5,1.43,15000.0,22000.0
7014 CDTP/HCP4B,70.0,110.0,20.0,52.0,45.5,1.43,15000.0,
S7014 CD/HCP4A,70.0,110.0,20.0,52.0,45.5,1.43,15000.0,
S7014 CDTP/HCP4B,70.0,110.0,20.0,52.0,45.5,1.43,15000.0,
7014 CD/P4A,70.0,110.0,20.0,52.0,45.5,1.93,12000.0,19000.0
7014 CD/P4AH1,70.0,110.0,20.0,52.0,45.5,1.93,12000.0,19000.0
7014 CD/P4AL,70.0,110.0,20.0,52.0,45.5,1.93,12000.0,19000.0
7014 CDTP/P4B,70.0,110.0,20.0,52.0,45.5,1.93,12000.0,
S7014 CD/P4A,70.0,110.0,20.0,52.0,45.5,1.93,12000.0,
S7014 CDTP/P4B,70.0,110.0,20.0,52.0,45.5,1.93,12000.0,
7214 ACD/HCP4A,70.0,125.0,24.0,66.3,55.0,1.73,12000.0,19000.0
S7214 ACD/HCP4A,70.0,125.0,24.0,66.3,55.0,1.73,12000.0,
7214 ACD/P4A,70.0,125.0,24.0,66.3,55.0,2.36,9500.0,16000.0
S7214 ACD/P4A,70.0,125.0,24.0,66.3,55.0,2.36,9500.0,
7214 CD/HCP4A,70.0,125.0,24.0,68.9,58.5,1.8,14000.0,20000.0
S7214 CD/HCP4A,70.0,125.0,24.0,68.9,58.5,1.8,14000.0,
7214 CD/P4A,70.0,125.0,24.0,68.9,58.5,2.45,11000.0,18000.0
S7214 CD/P4A,70.0,125.0,24.0,68.9,58.5,2.45,11000.0,
71815 ACD/HCP4,75.0,95.0,10.0,13.3,16.0,0.5,14000.0,22000.0
71815 ACD/P4,75.0,95.0,10.0,13.3,16.0,0.68,12000.0,18000.0
71815 CD/HCP4,75.0,95.0,10.0,14.3,17.0,0.53,16000.0,24000.0
71815 CD/P4,75.0,95.0,10.0,14.3,17.0,0.72,13000.0,20000.0
71915 ACB/HCP4A,75.0,105.0,16.0,13.3,12.5,0.39,18000.0,28000.0
71915 ACB/HCP4AL,75.0,105.0,16.0,13.3,12.5,0.39,18000.0,28000.0
S71915 ACB/HCP4A,75.0,105.0,16.0,13.3,12.5,0.39,18000.0,
71915 ACB/P4A,75.0,105.0,16.0,13.3,12.5,0.53,15000.0,24000.0
71915 ACB/P4AL,75.0,105.0,16.0,13.3,12.5,0.53,15000.0,24000.0
S71915 ACB/P4A,75.0,105.0,16.0,13.3,12.5,0.53,15000.0,
71915 CB/HCP4A,75.0,105.0,16.0,14.0,13.2,0.405,20000.0,30000.0
71915 CB/HCP4AL,75.0,105.0,16.0,14.0,13.2,0.405,20000.0,30000.0
S71915 CB/HCP4A,75.0,105.0,16.0,14.0,13.2,0.405,20000.0,
71915 CB/P4A,75.0,105.0,16.0,14.0,13.2,0.56,17000.0,26000.0
71915 CB/P4AL,75.0,105.0,16.0,14.0,13.2,0.56,17000.0,26000.0
S71915 CB/P4A,75.0,105.0,16.0,14.0,13.2,0.56,17000.0,
71915 ACE/P4A,75.0,105.0,16.0,21.2,16.3,0.68,15500.0,24000.0
71915 ACE/P4AH1,75.0,105.0,16.0,21.2,16.3,0.68,15500.0,24000.0
71915 ACE/P4AL,75.0,105.0,16.0,21.2,16.3,0.68,15500.0,24000.0
S71915 ACE/P4A,75.0,105.0,16.0,21.2,16.3,0.68,15500.0,
71915 ACE/HCP4A,75.0,105.0,16.0,21.2,16.3,0.68,18500.0,29000.0
71915 ACE/HCP4AH1,75.0,105.0,16.0,21.2,16.3,0.68,18500.0,29000.0
71915 ACE/HCP4AL,75.0,105.0,16.0,21.2,16.3,0.68,18500.0,29000.0
S71915 ACE/HCP4A,75.0,105.0,16.0,21.2,16.3,0.68,18500.0,
71915 CE/P4A,75.0,105.0,16.0,22.5,17.0,0.72,17500.0,27000.0
71915 CE/P4AH1,75.0,105.0,16.0,22.5,17.0,0.72,17500.0,27000.0
71915 CE/P4AL,75.0,105.0,16.0,22.5,17.0,0.72,17500.0,27000.0
S71915 CE/P4A,75.0,105.0,16.0,22.5,17.0,0.72,17500.0,
71915 CE/HCP4A,75.0,105.0,16.0,22.5,17.0,0.72,20500.0,32000.0
71915 CE/HCP4AH1,75.0,105.0,16.0,22.5,17.0,0.72,20500.0,32000.0
71915 CE/HCP4AL,75.0,105.0,16.0,22.5,17.0,0.72,20500.0,32000.0
S71915 CE/HCP4A,75.0,105.0,16.0,22.5,17.0,0.72,20500.0,
71915 ACD/HCP4A,75.0,105.0,16.0,33.8,35.5,1.1,13000.0,20000.0
71915 ACD/HCP4AH1,75.0,105.0,16.0,33.8,35.5,1.1,13000.0,20000.0
71915 ACD/HCP4AL,75.0,105.0,16.0,33.8,35.5,1.1,13000.0,20000.0
S71915 ACD/HCP4A,75.0,105.0,16.0,33.8,35.5,1.1,13000.0,
71915 ACD/P4A,75.0,105.0,16.0,33.8,35.5,1.5,10000.0,17000.0
71915 ACD/P4AH1,75.0,105.0,16.0,33.8,35.5,1.5,10000.0,17000.0
71915 ACD/P4AL,75.0,105.0,16.0,33.8,35.5,1.5,10000.0,17000.0
S71915 ACD/P4A,75.0,105.0,16.0,33.8,35.5,1.5,10000.0,
71915 CD/HCP4A,75.0,105.0,16.0,35.8,37.5,1.16,15000.0,22000.0
71915 CD/HCP4AH1,75.0,105.0,16.0,35.8,37.5,1.16,15000.0,22000.0
71915 CD/HCP4AL,75.0,105.0,16.0,35.8,37.5,1.16,15000.0,22000.0
S71915 CD/HCP4A,75.0,105.0,16.0,35.8,37.5,1.16,15000.0,
71915 CD/P4A,75.0,105.0,16.0,35.8,37.5,1.56,12000.0,19000.0
71915 CD/P4AH1,75.0,105.0,16.0,35.8,37.5,1.56,12000.0,19000.0
71915 CD/P4AL,75.0,105.0,16.0,35.8,37.5,1.56,12000.0,19000.0
S71915 CD/P4A,75.0,105.0,16.0,35.8,37.5,1.56,12000.0,
7015 ACB/HCP4A,75.0,115.0,20.0,19.0,16.6,0.52,17000.0,26000.0
7015 ACB/HCP4AL,75.0,115.0,20.0,19.0,16.6,0.52,17000.0,26000.0
S7015 ACB/HCP4A,75.0,115.0,20.0,19.0,16.6,0.52,17000.0,
7015 ACB/P4A,75.0,115.0,20.0,19.0,16.6,0.71,14000.0,22000.0
7015 ACB/P4AL,75.0,115.0,20.0,19.0,16.6,0.71,14000.0,22000.0
S7015 ACB/P4A,75.0,115.0,20.0,19.0,16.6,0.71,14000.0,
7015 CB/HCP4A,75.0,115.0,20.0,19.9,17.6,0.55,18000.0,28000.0
7015 CB/HCP4AL,75.0,115.0,20.0,19.9,17.6,0.55,18000.0,28000.0
S7015 CB/HCP4A,75.0,115.0,20.0,19.9,17.6,0.55,18000.0,
7015 CB/P4A,75.0,115.0,20.0,19.9,17.6,0.75,16000.0,24000.0
7015 CB/P4AL,75.0,115.0,20.0,19.9,17.6,0.75,16000.0,24000.0
S7015 CB/P4A,75.0,115.0,20.0,19.9,17.6,0.75,16000.0,
7015 ACE/HCP4A,75.0,115.0,20.0,24.7,20.4,0.63,17000.0,27000.0
7015 ACE/HCP4AH1,75.0,115.0,20.0,24.7,20.4,0.63,17000.0,27000.0
7015 ACE/HCP4AL,75.0,115.0,20.0,24.7,20.4,0.63,17000.0,27000.0
7015 ACE/HCP4AL1,75.0,115.0,20.0,24.7,20.4,0.63,17000.0,27000.0
S7015 ACE/HCP4A,75.0,115.0,20.0,24.7,20.4,0.63,17000.0,
7015 ACE/P4A,75.0,115.0,20.0,24.7,20.4,0.865,14500.0,23000.0
7015 ACE/P4AH1,75.0,115.0,20.0,24.7,20.4,0.865,14500.0,23000.0
7015 ACE/P4AL,75.0,115.0,20.0,24.7,20.4,0.865,14500.0,23000.0
7015 ACE/P4AL1,75.0,115.0,20.0,24.7,20.4,0.865,14500.0,23000.0
S7015 ACE/P4A,75.0,115.0,20.0,24.7,20.4,0.865,14500.0,
7015 CE/HCP4A,75.0,115.0,20.0,26.0,21.6,0.67,19000.0,29000.0
7015 CE/HCP4AH1,75.0,115.0,20.0,26.0,21.6,0.67,19000.0,29000.0
7015 CE/HCP4AL,75.0,115.0,20.0,26.0,21.6,0.67,19000.0,29000.0
7015 CE/HCP4AL1,75.0,115.0,20.0,26.0,21.6,0.67,19000.0,29000.0
S7015 CE/HCP4A,75.0,115.0,20.0,26.0,21.6,0.67,19000.0,
7015 CE/P4A,75.0,115.0,20.0,26.0,21.6,0.915,16000.0,26000.0
7015 CE/P4AH1,75.0,115.0,20.0,26.0,21.6,0.915,16000.0,26000.0
7015 CE/P4AL,75.0,115.0,20.0,26.0,21.6,0.915,16000.0,26000.0
7015 CE/P4AL1,75.0,115.0,20.0,26.0,21.6,0.915,16000.0,26000.0
S7015 CE/P4A,75.0,115.0,20.0,26.0,21.6,0.915,16000.0,
7015 ACD/HCP4A,75.0,115.0,20.0,49.4,46.5,1.43,13000.0,20000.0
7015 ACD/HCP4AH1,75.0,115.0,20.0,49.4,46.5,1.43,13000.0,20000.0
7015 ACD/HCP4AL,75.0,115.0,20.0,49.4,46.5,1.43,13000.0,20000.0
S7015 ACD/HCP4A,75.0,115.0,20.0,49.4,46.5,1.43,13000.0,
7015 ACD/P4A,75.0,115.0,20.0,49.4,46.5,1.96,10000.0,16000.0
7015 ACD/P4AH1,75.0,115.0,20.0,49.4,46.5,1.96,10000.0,16000.0
7015 ACD/P4AL,75.0,115.0,20.0,49.4,46.5,1.96,10000.0,16000.0
S7015 ACD/P4A,75.0,115.0,20.0,49.4,46.5,1.96,10000.0,
7015 CD/HCP4A,75.0,115.0,20.0,52.7,49.0,1.5,14000.0,22000.0
7015 CD/HCP4AH1,75.0,115.0,20.0,52.7,49.0,1.5,14000.0,22000.0
7015 CD/HCP4AL,75.0,115.0,20.0,52.7,49.0,1.5,14000.0,22000.0
S7015 CD/HCP4A,75.0,115.0,20.0,52.7,49.0,1.5,14000.0,
7015 CD/P4A,75.0,115.0,20.0,52.7,49.0,2.08,11000.0,18000.0
7015 CD/P4AH1,75.0,115.0,20.0,52.7,49.0,2.08,11000.0,18000.0
7015 CD/P4AL,75.0,115.0,20.0,52.7,49.0,2.08,11000.0,18000.0
S7015 CD/P4A,75.0,115.0,20.0,52.7,49.0,2.08,11000.0,
7215 ACD/HCP4A,75.0,130.0,25.0,68.9,58.5,1.83,11000.0,18000.0
S7215 ACD/HCP4A,75.0,130.0,25.0,68.9,58.5,1.83,11000.0,
7215 ACD/P4A,75.0,130.0,25.0,68.9,58.5,2.5,9000.0,15000.0
S7215 ACD/P4A,75.0,130.0,25.0,68.9,58.5,2.5,9000.0,
7215 CD/HCP4A,75.0,130.0,25.0,71.5,62.0,1.93,14000.0,20000.0
S7215 CD/HCP4A,75.0,130.0,25.0,71.5,62.0,1.93,14000.0,
7215 CD/P4A,75.0,130.0,25.0,71.5,62.0,2.65,10000.0,17000.0
S7215 CD/P4A,75.0,130.0,25.0,71.5,62.0,2.65,10000.0,
71816 ACD/HCP4,80.0,100.0,10.0,13.8,17.0,0.53,13000.0,20000.0
71816 ACD/P4,80.0,100.0,10.0,13.8,17.0,0.72,11000.0,17000.0
71816 CD/HCP4,80.0,100.0,10.0,14.6,18.3,0.56,15000.0,22000.0
71816 CD/P4,80.0,100.0,10.0,14.6,18.3,0.765,12000.0,19000.0
71916 ACB/HCP4A,80.0,110.0,16.0,14.8,14.0,0.43,17000.0,26000.0
71916 ACB/HCP4AL,80.0,110.0,16.0,14.8,14.0,0.43,17000.0,26000.0
S71916 ACB/HCP4A,80.0,110.0,16.0,14.8,14.0,0.43,17000.0,
71916 ACB/P4A,80.0,110.0,16.0,14.8,14.0,0.6,14000.0,22000.0
71916 ACB/P4AL,80.0,110.0,16.0,14.8,14.0,0.6,14000.0,22000.0
S71916 ACB/P4A,80.0,110.0,16.0,14.8,14.0,0.6,14000.0,
71916 CB/HCP4A,80.0,110.0,16.0,15.6,15.0,0.465,19000.0,30000.0
71916 CB/HCP4AL,80.0,110.0,16.0,15.6,15.0,0.465,19000.0,30000.0
S71916 CB/HCP4A,80.0,110.0,16.0,15.6,15.0,0.465,19000.0,
71916 CB/P4A,80.0,110.0,16.0,15.6,15.0,0.63,16000.0,24000.0
71916 CB/P4AL,80.0,110.0,16.0,15.6,15.0,0.63,16000.0,24000.0
S71916 CB/P4A,80.0,110.0,16.0,15.6,15.0,0.63,16000.0,
71916 ACE/P4A,80.0,110.0,16.0,21.2,17.0,0.71,14500.0,22000.0
71916 ACE/P4AH1,80.0,110.0,16.0,21.2,17.0,0.71,14500.0,22000.0
71916 ACE/P4AL,80.0,110.0,16.0,21.2,17.0,0.71,14500.0,22000.0
S71916 ACE/P4A,80.0,110.0,16.0,21.2,17.0,0.71,14500.0,
71916 ACE/HCP4A,80.0,110.0,16.0,21.2,17.0,0.71,17500.0,27000.0
71916 ACE/HCP4AH1,80.0,110.0,16.0,21.2,17.0,0.71,17500.0,27000.0
71916 ACE/HCP4AL,80.0,110.0,16.0,21.2,17.0,0.71,17500.0,27000.0
S71916 ACE/HCP4A,80.0,110.0,16.0,21.2,17.0,0.71,17500.0,
71916 CE/P4A,80.0,110.0,16.0,22.5,18.0,0.75,16500.0,25000.0
71916 CE/P4AH1,80.0,110.0,16.0,22.5,18.0,0.75,16500.0,25000.0
71916 CE/P4AL,80.0,110.0,16.0,22.5,18.0,0.75,16500.0,25000.0
S71916 CE/P4A,80.0,110.0,16.0,22.5,18.0,0.75,16500.0,
71916 CE/HCP4A,80.0,110.0,16.0,22.5,18.0,0.75,19000.0,30000.0
71916 CE/HCP4AH1,80.0,110.0,16.0,22.5,18.0,0.75,19000.0,30000.0
71916 CE/HCP4AL,80.0,110.0,16.0,22.5,18.0,0.75,19000.0,30000.0
S71916 CE/HCP4A,80.0,110.0,16.0,22.5,18.0,0.75,19000.0,
71916 ACD/HCP4A,80.0,110.0,16.0,34.5,36.5,1.14,12000.0,19000.0
71916 ACD/HCP4AH1,80.0,110.0,16.0,34.5,36.5,1.14,12000.0,19000.0
71916 ACD/HCP4AL,80.0,110.0,16.0,34.5,36.5,1.14,12000.0,19000.0
S71916 ACD/HCP4A,80.0,110.0,16.0,34.5,36.5,1.14,12000.0,
71916 ACD/P4A,80.0,110.0,16.0,34.5,36.5,1.56,9500.0,16000.0
71916 ACD/P4AH1,80.0,110.0,16.0,34.5,36.5,1.56,9500.0,16000.0
71916 ACD/P4AL,80.0,110.0,16.0,34.5,36.5,1.56,9500.0,16000.0
S71916 ACD/P4A,80.0,110.0,16.0,34.5,36.5,1.56,9500.0,
71916 CD/HCP4A,80.0,110.0,16.0,36.4,39.0,1.2,15000.0,22000.0
71916 CD/HCP4AH1,80.0,110.0,16.0,36.4,39.0,1.2,15000.0,22000.0
71916 CD/HCP4AL,80.0,110.0,16.0,36.4,39.0,1.2,15000.0,22000.0
S71916 CD/HCP4A,80.0,110.0,16.0,36.4,39.0,1.2,15000.0,
71916 CD/P4A,80.0,110.0,16.0,36.4,39.0,1.66,11000.0,18000.0
71916 CD/P4AH1,80.0,110.0,16.0,36.4,39.0,1.66,11000.0,18000.0
71916 CD/P4AL,80.0,110.0,16.0,36.4,39.0,1.66,11000.0,18000.0
S71916 CD/P4A,80.0,110.0,16.0,36.4,39.0,1.66,11000.0,
7016 ACB/HCP4A,80.0,125.0,22.0,25.1,21.6,0.655,15000.0,22000.0
7016 ACB/HCP4AL,80.0,125.0,22.0,25.1,21.6,0.655,15000.0,22000.0
S7016 ACB/HCP4A,80.0,125.0,22.0,25.1,21.6,0.655,15000.0,
7016 ACB/P4A,80.0,125.0,22.0,25.1,21.6,0.9,12000.0,19000.0
7016 ACB/P4AL,80.0,125.0,22.0,25.1,21.6,0.9,12000.0,19000.0
S7016 ACB/P4A,80.0,125.0,22.0,25.1,21.6,0.9,12000.0,
7016 CB/HCP4A,80.0,125.0,22.0,26.5,22.8,0.695,17000.0,26000.0
7016 CB/HCP4AL,80.0,125.0,22.0,26.5,22.8,0.695,17000.0,26000.0
S7016 CB/HCP4A,80.0,125.0,22.0,26.5,22.8,0.695,17000.0,
7016 CB/P4A,80.0,125.0,22.0,26.5,22.8,0.95,14000.0,20000.0
7016 CB/P4AL,80.0,125.0,22.0,26.5,22.8,0.95,14000.0,20000.0
S7016 CB/P4A,80.0,125.0,22.0,26.5,22.8,0.95,14000.0,
7016 ACE/HCP4A,80.0,125.0,22.0,32.5,26.5,0.815,15500.0,24000.0
7016 ACE/HCP4AH1,80.0,125.0,22.0,32.5,26.5,0.815,15500.0,24000.0
7016 ACE/HCP4AL,80.0,125.0,22.0,32.5,26.5,0.815,15500.0,24000.0
7016 ACE/HCP4AL1,80.0,125.0,22.0,32.5,26.5,0.815,15500.0,24000.0
S7016 ACE/HCP4A,80.0,125.0,22.0,32.5,26.5,0.815,15500.0,
7016 ACE/P4A,80.0,125.0,22.0,32.5,26.5,1.12,13700.0,21000.0
7016 ACE/P4AH1,80.0,125.0,22.0,32.5,26.5,1.12,13700.0,21000.0
7016 ACE/P4AL,80.0,125.0,22.0,32.5,26.5,1.12,13700.0,21000.0
7016 ACE/P4AL1,80.0,125.0,22.0,32.5,26.5,1.12,13700.0,21000.0
S7016 ACE/P4A,80.0,125.0,22.0,32.5,26.5,1.12,13700.0,
7016 CE/HCP4A,80.0,125.0,22.0,33.8,28.0,0.85,17500.0,27000.0
7016 CE/HCP4AH1,80.0,125.0,22.0,33.8,28.0,0.85,17500.0,27000.0
7016 CE/HCP4AL,80.0,125.0,22.0,33.8,28.0,0.85,17500.0,27000.0
7016 CE/HCP4AL1,80.0,125.0,22.0,33.8,28.0,0.85,17500.0,27000.0
S7016 CE/HCP4A,80.0,125.0,22.0,33.8,28.0,0.85,17500.0,
7016 CE/P4A,80.0,125.0,22.0,33.8,28.0,1.18,15000.0,24000.0
7016 CE/P4AH1,80.0,125.0,22.0,33.8,28.0,1.18,15000.0,24000.0
7016 CE/P4AL,80.0,125.0,22.0,33.8,28.0,1.18,15000.0,24000.0
7016 CE/P4AL1,80.0,125.0,22.0,33.8,28.0,1.18,15000.0,24000.0
S7016 CE/P4A,80.0,125.0,22.0,33.8,28.0,1.18,15000.0,
7016 ACD/HCP4A,80.0,125.0,22.0,62.4,58.5,1.76,12000.0,18000.0
7016 ACD/HCP4AH1,80.0,125.0,22.0,62.4,58.5,1.76,12000.0,18000.0
7016 ACD/HCP4AL,80.0,125.0,22.0,62.4,58.5,1.76,12000.0,18000.0
7016 ACDTP/HCP4B,80.0,125.0,22.0,62.4,58.5,1.76,12000.0,
S7016 ACD/HCP4A,80.0,125.0,22.0,62.4,58.5,1.76,12000.0,
S7016 ACDTP/HCP4B,80.0,125.0,22.0,62.4,58.5,1.76,12000.0,
7016 ACD/P4A,80.0,125.0,22.0,62.4,58.5,2.45,9500.0,15000.0
7016 ACD/P4AH1,80.0,125.0,22.0,62.4,58.5,2.45,9500.0,15000.0
7016 ACD/P4AL,80.0,125.0,22.0,62.4,58.5,2.45,9500.0,15000.0
7016 ACDTP/P4B,80.0,125.0,22.0,62.4,58.5,2.45,9500.0,
S7016 ACD/P4A,80.0,125.0,22.0,62.4,58.5,2.45,9500.0,
S7016 ACDTP/P4B,80.0,125.0,22.0,62.4,58.5,2.45,9500.0,
7016 CD/HCP4A,80.0,125.0,22.0,65.0,61.0,1.86,13000.0,20000.0
7016 CD/HCP4AH1,80.0,125.0,22.0,65.0,61.0,1.86,13000.0,20000.0
7016 CD/HCP4AL,80.0,125.0,22.0,65.0,61.0,1.86,13000.0,20000.0
7016 CDTP/HCP4B,80.0,125.0,22.0,65.0,61.0,1.86,13000.0,
S7016 CD/HCP4A,80.0,125.0,22.0,65.0,61.0,1.86,13000.0,
S7016 CDTP/HCP4B,80.0,125.0,22.0,65.0,61.0,1.86,13000.0,
7016 CD/P4A,80.0,125.0,22.0,65.0,61.0,2.55,10000.0,17000.0
7016 CD/P4AH1,80.0,125.0,22.0,65.0,61.0,2.55,10000.0,17000.0
7016 CD/P4AL,80.0,125.0,22.0,65.0,61.0,2.55,10000.0,17000.0
7016 CDTP/P4B,80.0,125.0,22.0,65.0,61.0,2.55,10000.0,
S7016 CD/P4A,80.0,125.0,22.0,65.0,61.0,2.55,10000.0,
S7016 CDTP/P4B,80.0,125.0,22.0,65.0,61.0,2.55,10000.0,
7216 ACD/HCP4A,80.0,140.0,26.0,81.9,72.0,2.12,10000.0,17000.0
S7216 ACD/HCP4A,80.0,140.0,26.0,81.9,72.0,2.12,10000.0,
7216 ACD/P4A,80.0,140.0,26.0,81.9,72.0,2.9,8500.0,14000.0
S7216 ACD/P4A,80.0,140.0,26.0,81.9,72.0,2.9,8500.0,
7216 CD/HCP4A,80.0,140.0,26.0,85.2,75.0,2.24,12000.0,18000.0
S7216 CD/HCP4A,80.0,140.0,26.0,85.2,75.0,2.24,12000.0,
7216 CD/P4A,80.0,140.0,26.0,85.2,75.0,3.05,9500.0,16000.0
S7216 CD/P4A,80.0,140.0,26.0,85.2,75.0,3.05,9500.0,
71817 ACD/HCP4,85.0,110.0,13.0,20.3,24.0,0.735,12000.0,19000.0
71817 ACD/P4,85.0,110.0,13.0,20.3,24.0,1.02,10000.0,16000.0
71817 CD/HCP4,85.0,110.0,13.0,21.6,25.5,0.78,14000.0,20000.0
71817 CD/P4,85.0,110.0,13.0,21.6,25.5,1.08,11000.0,17000.0
71917 ACB/HCP4A,85.0,120.0,18.0,15.3,15.3,0.465,16000.0,24000.0
71917 ACB/HCP4AL,85.0,120.0,18.0,15.3,15.3,0.465,16000.0,24000.0
S71917 ACB/HCP4A,85.0,120.0,18.0,15.3,15.3,0.465,16000.0,
71917 ACB/P4A,85.0,120.0,18.0,15.3,15.3,0.64,13000.0,20000.0
71917 ACB/P4AL,85.0,120.0,18.0,15.3,15.3,0.64,13000.0,20000.0
