Designation,d[mm],D[mm],B[mm],C[kN],Co[kN],Pu[kN],G-Speed[r/min],O-Speed[r/min]
S7012 ACB/HCP4A,60.0,95.0,18.0,13.5,11.4,0.355,22000.0,
7012 ACB/P4A,60.0,95.0,18.0,13.5,11.4,0.48,17000.0,26000.0
7012 ACB/P4AL,60.0,95.0,18.0,13.5,11.4,0.48,17000.0,26000.0
S7012 ACB/P4A,60.0,95.0,18.0,13.5,11.4,0.48,17000.0,
7012 CB/HCP4A,60.0,95.0,18.0,14.6,12.0,0.375,24000.0,36000.0
7012 CB/HCP4AL,60.0,95.0,18.0,14.6,12.0,0.375,24000.0,36000.0
S7012 CB/HCP4A,60.0,95.0,18.0,14.6,12.0,0.375,24000.0,
7012 CB/P4A,60.0,95.0,18.0,14.6,12.0,0.51,19000.0,30000.0
7012 CB/P4AL,60.0,95.0,18.0,14.6,12.0,0.51,19000.0,30000.0
S7012 CB/P4A,60.0,95.0,18.0,14.6,12.0,0.51,19000.0,
7012 ACE/HCP4A,60.0,95.0,18.0,16.3,12.2,0.375,22000.0,33000.0
7012 ACE/HCP4AH1,60.0,95.0,18.0,16.3,12.2,0.375,22000.0,33000.0
7012 ACE/HCP4AL,60.0,95.0,18.0,16.3,12.2,0.375,22000.0,33000.0
7012 ACE/HCP4AL1,60.0,95.0,18.0,16.3,12.2,0.375,22000.0,33000.0
7012 ACE/HCP4BVG275,60.0,95.0,18.0,16.3,12.2,0.375,22000.0,
S7012 ACE/HCP4A,60.0,95.0,18.0,16.3,12.2,0.375,22000.0,
S7012 ACE/HCP4BVG275,60.0,95.0,18.0,16.3,12.2,0.375,22000.0,
7012 ACE/P4A,60.0,95.0,18.0,16.3,12.2,0.52,18000.0,28000.0
7012 ACE/P4AH1,60.0,95.0,18.0,16.3,12.2,0.52,18000.0,28000.0
7012 ACE/P4AL,60.0,95.0,18.0,16.3,12.2,0.52,18000.0,28000.0
7012 ACE/P4AL1,60.0,95.0,18.0,16.3,12.2,0.52,18000.0,28000.0
7012 ACE/P4BVG275,60.0,95.0,18.0,16.3,12.2,0.52,18000.0,
S7012 ACE/P4A,60.0,95.0,18.0,16.3,12.2,0.52,18000.0,
S7012 ACE/P4BVG275,60.0,95.0,18.0,16.3,12.2,0.52,18000.0,
7012 CE/HCP4A,60.0,95.0,18.0,17.2,12.9,0.4,24000.0,37000.0
7012 CE/HCP4AH1,60.0,95.0,18.0,17.2,12.9,0.4,24000.0,37000.0
7012 CE/HCP4AL,60.0,95.0,18.0,17.2,12.9,0.4,24000.0,37000.0
