产品品牌,产品型号,产品称号,历史品牌,历史型号,产品类型,内径d,外径D,宽度B,油脂转速,油气转速,质量KG,产品系列,精度等级,预紧等级,密封形式,角度,滚动体大小,滚动体材料,配组列数,配组形式,说明,标签,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_brand,product_model,product_label,product_brand_old,product_model_old,product_class,ind,oud,wid,speed_g,speed_o,weight,serie,accuracy,preload,seal,angle,r_size,r_matel,assembly_no,assembly_type,note,tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,71922ACEGA/P4A,71922 ACE GA / P4A,SNFA,VEB1107CE3UL,角接触球轴承,110,150,20,10300,16000,0.83,719,P4A,轻,开式,25,中,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,71924ACEGA/P4A,71924 ACE GA / P4A,SNFA,VEB1207CE3UL,角接触球轴承,120,165,22,9500,15000,1.1,719,P4A,轻,开式,25,中,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,706ACDGA/P4A,706 ACD GA / P4A,SNFA,EX67CE3UL,角接触球轴承,6,17,6,110000,160000,0.006,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,707ACDGA/P4A,707 ACD GA / P4A,SNFA,EX77CE3UL,角接触球轴承,7,19,6,95000,140000,0.007,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,708ACDGA/P4A,708 ACD GA / P4A,SNFA,EX87CE3UL,角接触球轴承,8,22,7,80000,120000,0.011,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,709ACDGA/P4A,709 ACD GA / P4A,SNFA,EX97CE3UL,角接触球轴承,9,24,7,75000,110000,0.014,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7000ACDGA/P4A,7000 ACD GA / P4A,SNFA,EX107CE3UL,角接触球轴承,10,26,8,67000,100000,0.018,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7001ACDGA/P4A,7001 ACD GA / P4A,SNFA,EX127CE3UL,角接触球轴承,12,28,8,60000,90000,0.02,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7002ACDGA/P4A,7002 ACD GA / P4A,SNFA,EX157CE3UL,角接触球轴承,15,32,9,50000,75000,0.028,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7003ACDGA/P4A,7003 ACD GA / P4A,SNFA,EX177CE3UL,角接触球轴承,17,35,10,45000,70000,0.037,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7004ACDGA/P4A,7004 ACD GA / P4A,SNFA,EX207CE3UL,角接触球轴承,20,42,12,38000,60000,0.065,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7005ACDGA/P4A,7005 ACD GA / P4A,SNFA,EX257CE3UL,角接触球轴承,25,47,12,34000,50000,0.075,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7006ACDGA/P4A,7006 ACD GA / P4A,SNFA,EX307CE3UL,角接触球轴承,30,55,13,28000,43000,0.11,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7007ACDGA/P4A,7007 ACD GA / P4A,SNFA,EX357CE3UL,角接触球轴承,35,62,14,20000,32000,0.15,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7008ACDGA/P4A,7008 ACD GA / P4A,SNFA,EX407CE3UL,角接触球轴承,40,68,15,19000,30000,0.19,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7009ACDGA/P4A,7009 ACD GA / P4A,SNFA,EX457CE3UL,角接触球轴承,45,75,16,17000,26000,0.23,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7010ACDGA/P4A,7010 ACD GA / P4A,SNFA,EX507CE3UL,角接触球轴承,50,80,16,15000,24000,0.25,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7011ACDGA/P4A,7011 ACD GA / P4A,SNFA,EX557CE3UL,角接触球轴承,55,90,18,14000,22000,0.37,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7012ACDGA/P4A,7012 ACD GA / P4A,SNFA,EX607CE3UL,角接触球轴承,60,95,18,13000,20000,0.4,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7013ACDGA/P4A,7013 ACD GA / P4A,SNFA,EX657CE3UL,角接触球轴承,65,100,18,12000,19000,0.42,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7014ACDGA/P4A,7014 ACD GA / P4A,SNFA,EX707CE3UL,角接触球轴承,70,110,20,11000,17000,0.59,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7015ACDGA/P4A,7015 ACD GA / P4A,SNFA,EX757CE3UL,角接触球轴承,75,115,20,10000,16000,0.62,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7016ACDGA/P4A,7016 ACD GA / P4A,SNFA,EX807CE3UL,角接触球轴承,80,125,22,9500,15000,0.85,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7017ACDGA/P4A,7017 ACD GA / P4A,SNFA,EX857CE3UL,角接触球轴承,85,130,22,9000,14000,0.89,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7018ACDGA/P4A,7018 ACD GA / P4A,SNFA,EX907CE3UL,角接触球轴承,90,140,24,8500,13000,1.15,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7019ACDGA/P4A,7019 ACD GA / P4A,SNFA,EX957CE3UL,角接触球轴承,95,145,24,8000,13000,1.2,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7020ACDGA/P4A,7020 ACD GA / P4A,SNFA,EX1007CE3UL,角接触球轴承,100,150,24,8000,12000,1.25,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7021ACDGA/P4A,7021 ACD GA / P4A,SNFA,EX1057CE3UL,角接触球轴承,105,160,26,7500,12000,1.6,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7022ACDGA/P4A,7022 ACD GA / P4A,SNFA,EX1107CE3UL,角接触球轴承,110,170,28,7000,11000,1.95,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7024ACDGA/P4A,7024 ACD GA / P4A,SNFA,EX1207CE3UL,角接触球轴承,120,180,28,6700,10000,2.1,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7026ACDGA/P4A,7026 ACD GA / P4A,SNFA,EX1307CE3UL,角接触球轴承,130,200,33,6000,9000,3.2,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7028ACDGA/P4A,7028 ACD GA / P4A,SNFA,EX1407CE3UL,角接触球轴承,140,210,33,5600,8500,3.4,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7030ACDGA/P4A,7030 ACD GA / P4A,SNFA,EX1507CE3UL,角接触球轴承,150,225,35,5300,8000,4.15,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7032ACDGA/P4A,7032 ACD GA / P4A,SNFA,EX1607CE3UL,角接触球轴承,160,240,38,5000,7500,5.1,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7034ACDGA/P4A,7034 ACD GA / P4A,SNFA,EX1707CE3UL,角接触球轴承,170,260,42,4800,7000,6.85,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7036ACDGA/P4A,7036 ACD GA / P4A,SNFA,EX1807CE3UL,角接触球轴承,180,280,46,4300,6300,8.9,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,7038ACDGA/P4A,7038 ACD GA / P4A,SNFA,EX1907CE3UL,角接触球轴承,190,290,46,4300,6300,9.35,70,P4A,轻,开式,25,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
