客户号,客户简称,客户订单号,系统订单号,系统行号,系统分行号,型号,客户物料号,订单备注,要求交货数量,本币单价,订单总额（本币）,单价,订单发货确认,跟踪理由,包装代码,产地,订单包装日,发货日期,当前确认的交货期,要求交货期,运输方式(TMC),配送中心,仓库,订单状态,实到库时间,箱单号,开发票日期,配送时间,发票控制代码,订单控制代码,仓库指令代码,供应商订单号,供应商订单行,供应商订单分行,供应商发票号,供应商,公司代码,确认的上一个交货期,订单货期改变次数,货期差异,信贷状态,新计划交货日期,币种,销售员,销售经理,经销商集团,信用证是否收到,信用证收取截止日
SH4YJS6N,XINAI/XINGCHEN,XAJS6N/040-190815,19K0048976,14,A,NN 3017 KTN9/SPVS019,,,10,10000,100000,10000,YES,,12,,20190913,20190917,20191108,20191023,D6,I,,BOK,0,0,0,,N,,0,CHN9500216,14,A,,ITA0297,9757,20191108,1,16,R,,CNY,KUROKY WU,KUROKY WU,SH Xinai Elec,,
SH4YJS6N,XINAI/XINGCHEN,XAJS6N/040-190815,19K0048976,13,A,71914 ACEGA/HCP4AL,,,10,10000,100000,10000,YES,,12,,20191018,20191022,20191213,20191123,D6,I,,BOK,0,0,0,,N,,0,CHN9500216,13,A,,ITA0297,9757,20191213,0,20,R,,CNY,KUROKY WU,KUROKY WU,SH Xinai Elec,,
